Región,Tipo de contaminate,count
Ñuble,Cromo Total,1
Ñuble,Estaño,1
Ñuble,Fluoruro,12
Ñuble,Fósforo,12
Ñuble,Hidrocarburos Fijos,11
Ñuble,Hidrocarburos Totales,1
Ñuble,Hidrocarburos Volatiles,1
Ñuble,Hierro Disuelto,11
Ñuble,Indice Fenol,11
Ñuble,Manganeso,12
Ñuble,Mercurio,12
Ñuble,Molibdeno,12
Ñuble,Nitrógeno Total  Kjeldahl,12
Ñuble,Níquel,12
Ñuble,Pentaclorofenol,11
Ñuble,Plomo,12
Ñuble,SAAM,1
Ñuble,Sulfato,11
Ñuble,Sulfuro,12
Ñuble,Sólidos Suspendidos Totales,12
Ñuble,Tetracloroeteno,11
Ñuble,Tolueno,11
Ñuble,Triclorometano,11
Ñuble,Xileno,11
Ñuble,Zinc,12
